时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-08 09:30:00,20.81,20.81,20.81,20.81,684,1423404.0,20.81
2024-11-08 09:31:00,20.83,20.86,20.89,20.82,1673,3487512.0,20.836
2024-11-08 09:32:00,20.84,20.86,20.95,20.84,2721,5684778.0,20.866
2024-11-08 09:33:00,20.87,20.79,20.88,20.77,1758,3660607.0,20.855
2024-11-08 09:34:00,20.76,20.5,20.8,20.5,2338,4840439.0,20.816
2024-11-08 09:35:00,20.5,20.7,20.7,20.5,1684,3458902.0,20.773
2024-11-08 09:36:00,20.7,20.6,20.7,20.58,1504,3103061.0,20.756
2024-11-08 09:37:00,20.6,20.7,20.7,20.58,1314,2707082.0,20.741
2024-11-08 09:38:00,20.72,20.75,20.75,20.67,948,1962882.0,20.739
2024-11-08 09:39:00,20.72,20.67,20.8,20.67,842,1746525.0,20.739
2024-11-08 09:40:00,20.7,20.72,20.72,20.7,445,921456.0,20.738
2024-11-08 09:41:00,20.71,20.68,20.71,20.67,876,1812803.0,20.736
2024-11-08 09:42:00,20.69,20.6,20.69,20.6,1056,2180294.0,20.731
2024-11-08 09:43:00,20.6,20.56,20.6,20.56,997,2052095.0,20.723
2024-11-08 09:44:00,20.55,20.53,20.57,20.53,1348,2769905.0,20.711
2024-11-08 09:45:00,20.53,20.56,20.57,20.52,703,1443621.0,20.705
2024-11-08 09:46:00,20.56,20.65,20.67,20.56,731,1505777.0,20.702
2024-11-08 09:47:00,20.67,20.61,20.69,20.6,498,1028264.0,20.701
2024-11-08 09:48:00,20.64,20.62,20.64,20.6,825,1700498.0,20.697
2024-11-08 09:49:00,20.63,20.6,20.63,20.6,657,1354137.0,20.695
2024-11-08 09:50:00,20.58,20.59,20.61,20.58,814,1676760.0,20.692
2024-11-08 09:51:00,20.59,20.68,20.68,20.58,744,1533558.0,20.689
2024-11-08 09:52:00,20.6,20.73,20.73,20.6,1207,2497326.0,20.689
2024-11-08 09:53:00,20.73,20.96,20.96,20.73,2600,5425228.0,20.705
2024-11-08 09:54:00,20.95,20.96,21.12,20.95,4339,9120613.0,20.746
2024-11-08 09:55:00,20.96,20.92,20.97,20.92,1155,2419942.0,20.753
2024-11-08 09:56:00,20.91,20.88,20.91,20.85,823,1718861.0,20.756
2024-11-08 09:57:00,20.89,20.93,20.97,20.89,1673,3501738.0,20.764
2024-11-08 09:58:00,20.93,20.9,20.93,20.9,1443,3017213.0,20.77
2024-11-08 09:59:00,20.9,20.9,20.91,20.88,932,1947460.0,20.773
2024-11-08 10:00:00,20.89,20.82,20.89,20.82,323,673372.0,20.773
2024-11-08 10:01:00,20.81,20.82,20.85,20.8,1016,2116259.0,20.775
2024-11-08 10:02:00,20.82,20.88,20.88,20.82,432,901012.0,20.776
2024-11-08 10:03:00,20.88,20.86,20.89,20.86,382,797607.0,20.776
2024-11-08 10:04:00,20.85,20.85,20.86,20.84,336,700569.0,20.777
2024-11-08 10:05:00,20.85,20.85,20.86,20.84,726,1513740.0,20.778
