时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-11 09:30:00,0.0,10.82,10.82,10.82,1127,1219414.0,10.82
2024-11-11 09:31:00,0.0,10.78,10.8,10.78,716,773099.0,10.811
2024-11-11 09:32:00,0.0,10.82,10.82,10.79,377,406917.0,10.809
2024-11-11 09:33:00,0.0,10.81,10.82,10.81,842,910525.0,10.81
2024-11-11 09:34:00,0.0,10.82,10.84,10.82,605,654572.0,10.812
2024-11-11 09:35:00,0.0,10.82,10.82,10.8,505,546176.0,10.812
2024-11-11 09:36:00,0.0,10.79,10.82,10.79,932,1006952.0,10.811
2024-11-11 09:37:00,0.0,10.8,10.8,10.79,585,631567.0,10.809
2024-11-11 09:38:00,0.0,10.81,10.82,10.8,679,734025.0,10.809
2024-11-11 09:39:00,0.0,10.8,10.8,10.8,229,247424.0,10.809
2024-11-11 09:40:00,0.0,10.82,10.82,10.8,467,504585.0,10.809
2024-11-11 09:41:00,0.0,10.83,10.83,10.82,312,337788.0,10.81
2024-11-11 09:42:00,0.0,10.82,10.83,10.81,387,418645.0,10.81
2024-11-11 09:43:00,0.0,10.82,10.82,10.81,140,151439.0,10.81
2024-11-11 09:44:00,0.0,10.82,10.82,10.82,25,27050.0,10.81
2024-11-11 09:45:00,0.0,10.82,10.82,10.81,240,259498.0,10.81
2024-11-11 09:46:00,0.0,10.81,10.82,10.81,270,291970.0,10.81
2024-11-11 09:47:00,0.0,10.8,10.81,10.79,1164,1257221.0,10.809
2024-11-11 09:48:00,0.0,10.78,10.79,10.78,620,668977.0,10.808
2024-11-11 09:49:00,0.0,10.77,10.78,10.77,356,383588.0,10.807
2024-11-11 09:50:00,0.0,10.77,10.78,10.77,76,81909.0,10.807
2024-11-11 09:51:00,0.0,10.78,10.79,10.78,51,54981.0,10.807
2024-11-11 09:52:00,0.0,10.79,10.79,10.79,422,455338.0,10.806
2024-11-11 09:53:00,0.0,10.8,10.82,10.8,380,410549.0,10.806
2024-11-11 09:54:00,0.0,10.8,10.81,10.8,443,478557.0,10.806
2024-11-11 09:55:00,0.0,10.8,10.81,10.8,111,119884.0,10.806
2024-11-11 09:56:00,0.0,10.8,10.8,10.8,172,185760.0,10.806
2024-11-11 09:57:00,0.0,10.79,10.8,10.78,813,877182.0,10.805
2024-11-11 09:58:00,0.0,10.79,10.8,10.79,117,126314.0,10.805
2024-11-11 09:59:00,0.0,10.79,10.8,10.78,358,386285.0,10.804
2024-11-11 10:00:00,0.0,10.78,10.78,10.78,429,462462.0,10.804
2024-11-11 10:01:00,0.0,10.76,10.77,10.76,662,712829.0,10.802
2024-11-11 10:02:00,0.0,10.76,10.77,10.76,163,175498.0,10.802
2024-11-11 10:03:00,0.0,10.77,10.78,10.76,121,130366.0,10.801
2024-11-11 10:04:00,0.0,10.77,10.78,10.77,126,135708.0,10.801
