时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-08 09:30:00,8.04,8.04,8.04,8.04,4840,3891360.0,8.04
2024-11-08 09:31:00,8.05,8.13,8.16,8.02,21890,17686758.0,8.073
2024-11-08 09:32:00,8.13,8.15,8.15,8.09,8613,6993189.0,8.084
2024-11-08 09:33:00,8.15,8.09,8.15,8.06,7601,6163940.0,8.089
2024-11-08 09:34:00,8.08,8.12,8.12,8.07,5303,4292907.0,8.089
2024-11-08 09:35:00,8.12,8.12,8.12,8.1,5731,4649186.0,8.092
2024-11-08 09:36:00,8.12,8.06,8.12,8.05,5445,4395765.0,8.09
2024-11-08 09:37:00,8.05,8.07,8.08,8.05,3226,2600406.0,8.089
2024-11-08 09:38:00,8.07,8.07,8.09,8.06,5004,4039914.0,8.087
2024-11-08 09:39:00,8.08,8.09,8.09,8.07,4243,3429256.0,8.087
2024-11-08 09:40:00,8.08,8.14,8.14,8.08,7570,6139952.0,8.089
2024-11-08 09:41:00,8.14,8.1,8.14,8.09,4689,3807122.0,8.091
2024-11-08 09:42:00,8.1,8.08,8.1,8.08,5155,4168166.0,8.091
2024-11-08 09:43:00,8.09,8.06,8.09,8.06,4171,3366004.0,8.09
2024-11-08 09:44:00,8.06,8.04,8.06,8.04,3456,2782953.0,8.088
2024-11-08 09:45:00,8.04,8.09,8.09,8.04,4844,3905925.0,8.087
2024-11-08 09:46:00,8.08,8.12,8.13,8.08,4314,3499583.0,8.088
2024-11-08 09:47:00,8.11,8.1,8.12,8.1,3259,2642364.0,8.089
2024-11-08 09:48:00,8.1,8.1,8.1,8.08,5336,4319121.0,8.089
2024-11-08 09:49:00,8.1,8.08,8.1,8.08,2554,2066130.0,8.089
2024-11-08 09:50:00,8.09,8.09,8.1,8.08,1450,1172892.0,8.089
2024-11-08 09:51:00,8.09,8.13,8.13,8.09,3235,2622624.0,8.09
2024-11-08 09:52:00,8.13,8.12,8.13,8.11,3094,2512309.0,8.09
2024-11-08 09:53:00,8.12,8.11,8.12,8.11,3216,2609660.0,8.091
2024-11-08 09:54:00,8.11,8.12,8.12,8.11,1939,1573755.0,8.091
2024-11-08 09:55:00,8.11,8.1,8.12,8.09,2995,2427417.0,8.092
2024-11-08 09:56:00,8.09,8.09,8.1,8.08,2685,2172398.0,8.092
2024-11-08 09:57:00,8.08,8.1,8.1,8.08,1793,1451526.0,8.092
2024-11-08 09:58:00,8.1,8.1,8.1,8.09,1389,1124143.0,8.092
2024-11-08 09:59:00,8.09,8.1,8.1,8.09,2188,1770617.0,8.092
2024-11-08 10:00:00,8.1,8.09,8.1,8.09,2273,1839806.0,8.092
2024-11-08 10:01:00,8.09,8.07,8.09,8.07,4840,3912310.0,8.092
2024-11-08 10:02:00,8.08,8.08,8.09,8.08,1855,1499522.0,8.091
2024-11-08 10:03:00,8.09,8.1,8.1,8.08,2401,1942066.0,8.091
2024-11-08 10:04:00,8.1,8.09,8.1,8.09,3039,2460293.0,8.091
2024-11-08 10:05:00,8.1,8.1,8.1,8.09,2686,2175385.0,8.092
2024-11-08 10:06:00,8.1,8.11,8.12,8.09,2559,2074142.0,8.092
2024-11-08 10:07:00,8.11,8.13,8.13,8.11,3023,2455227.0,8.092
2024-11-08 10:08:00,8.13,8.14,8.14,8.12,1473,1198469.0,8.093
2024-11-08 10:09:00,8.13,8.14,8.15,8.13,2445,1990061.0,8.093
2024-11-08 10:10:00,8.14,8.14,8.15,8.14,3101,2526230.0,8.094
2024-11-08 10:11:00,8.14,8.14,8.15,8.14,2308,1879538.0,8.095
2024-11-08 10:12:00,8.15,8.15,8.15,8.14,4444,3620035.0,8.096
2024-11-08 10:13:00,8.15,8.14,8.15,8.13,2780,2263307.0,8.097
2024-11-08 10:14:00,8.14,8.12,8.14,8.12,4580,3723527.0,8.098
