成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:01,9.17,0.0,314674,288556058,卖盘
09:30:01,9.14,-0.03,52511,48039356,卖盘
09:30:04,8.96,-0.18,14383,12966528,卖盘
09:30:07,9.0,0.04,11636,10484083,买盘
09:30:10,9.09,0.09,11008,9981174,买盘
09:30:13,8.99,-0.1,8049,7273444,卖盘
09:30:16,8.98,-0.01,7419,6685553,中性盘
09:30:19,8.92,-0.06,2686,2406653,卖盘
09:30:22,8.93,0.01,6771,6069120,买盘
09:30:25,8.91,-0.02,4266,3804791,卖盘
09:30:28,8.97,0.06,9028,8061234,买盘
09:30:31,8.89,-0.08,7352,6547148,卖盘
09:30:34,8.92,0.03,10678,9507357,买盘
09:30:37,8.9,-0.02,10633,9458577,卖盘
09:30:40,8.88,-0.02,12953,11519334,卖盘
09:30:43,8.9,0.02,25217,22415455,买盘
09:30:46,8.88,-0.02,14666,12984541,卖盘
09:30:49,8.88,0.0,17091,15183638,买盘
09:30:52,8.8,-0.08,8420,7456492,卖盘
09:30:55,8.82,0.02,11004,9706435,中性盘
09:30:58,8.7,-0.12,13806,12097059,卖盘
09:31:01,8.68,-0.02,3983,3472154,卖盘
09:31:04,8.64,-0.04,7443,6471889,卖盘
09:31:07,8.64,0.0,5411,4682819,买盘
09:31:10,8.65,0.01,9750,8424264,中性盘
09:31:13,8.6,-0.05,9938,8554409,卖盘
09:31:16,8.6,0.0,10066,8651017,买盘
09:31:19,8.64,0.04,21160,18248926,买盘
09:31:22,8.66,0.02,12172,10522178,买盘
09:31:25,8.68,0.02,13441,11624489,买盘
09:31:28,8.68,0.0,13368,11595570,买盘
09:31:31,8.69,0.01,8460,7350373,买盘
09:31:34,8.78,0.09,9642,8394516,买盘
09:31:37,8.82,0.04,10515,9226835,买盘
09:31:40,8.84,0.02,8417,7408808,买盘
09:31:43,8.84,0.0,5758,5089705,买盘
09:31:46,8.87,0.03,15416,13654424,买盘
09:31:49,8.88,0.01,10124,8975931,买盘
09:31:52,8.89,0.01,9391,8334951,买盘
09:31:55,8.89,0.0,11546,10250910,买盘
09:31:58,8.87,-0.02,9717,8625261,卖盘
09:32:01,8.84,-0.03,12137,10757803,卖盘
09:32:04,8.85,0.01,10272,9090204,买盘
09:32:07,8.82,-0.03,5942,5238742,卖盘
09:32:10,8.82,0.0,4375,3855082,买盘
09:32:13,8.8,-0.02,5145,4524808,中性盘
09:32:16,8.78,-0.02,4134,3628236,卖盘
09:32:19,8.75,-0.03,3537,3100308,卖盘
09:32:22,8.75,0.0,4794,4179077,买盘
09:32:25,8.74,-0.01,5304,4629573,中性盘
09:32:28,8.71,-0.03,5220,4549771,卖盘
09:32:31,8.72,0.01,6489,5651738,买盘
09:32:34,8.72,0.0,6387,5564954,买盘
09:32:37,8.7,-0.02,6278,5471189,卖盘
09:32:40,8.7,0.0,9088,7902464,卖盘
09:32:43,8.68,-0.02,7054,6135351,卖盘
09:32:46,8.69,0.01,4308,3743845,买盘
09:32:49,8.68,-0.01,6486,5632708,卖盘
09:32:52,8.68,0.0,9515,8263193,买盘
09:32:55,8.69,0.01,4840,4202674,买盘
09:32:58,8.67,-0.02,5606,4867004,卖盘
09:33:01,8.67,0.0,5487,4758183,中性盘
09:33:04,8.66,-0.01,3150,2732014,中性盘
09:33:07,8.65,-0.01,4050,3509358,卖盘
09:33:10,8.66,0.01,7866,6805068,中性盘
09:33:13,8.65,-0.01,9191,7961653,买盘
09:33:16,8.64,-0.01,7075,6124806,卖盘
09:33:19,8.64,0.0,3354,2899519,买盘
09:33:22,8.64,0.0,4373,3774350,买盘
09:33:25,8.63,-0.01,10575,9136111,卖盘
09:33:28,8.63,0.0,8465,7319848,买盘
09:33:31,8.63,0.0,13229,11409412,卖盘
09:33:34,8.62,-0.01,4910,4236037,卖盘
09:33:37,8.63,0.01,5375,4637561,买盘
09:33:40,8.65,0.02,8784,7602711,买盘
09:33:43,8.67,0.02,4249,3681777,买盘
09:33:46,8.68,0.01,2923,2532964,买盘
09:33:49,8.68,0.0,3547,3078030,买盘
09:33:52,8.68,0.0,4581,3978227,卖盘
09:33:55,8.69,0.01,7276,6319395,买盘
09:33:58,8.69,0.0,6591,5724372,买盘
09:34:01,8.69,0.0,9662,8391696,买盘
09:34:04,8.69,0.0,7312,6350226,买盘
09:34:07,8.7,0.01,12748,11089649,买盘
09:34:10,8.72,0.02,6374,5551308,买盘
09:34:13,8.73,0.01,5211,4537779,买盘
