成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:00,5.67,-0.04,24879,14106393,卖盘
09:30:00,5.54,-0.13,319,177606,卖盘
09:30:03,5.53,-0.01,1995,1107791,中性盘
09:30:06,5.5,-0.03,1663,914450,卖盘
09:30:09,5.48,-0.02,1102,601728,中性盘
09:30:12,5.42,-0.06,1420,774494,卖盘
09:30:15,5.41,-0.01,721,390487,卖盘
09:30:18,5.39,-0.02,488,263545,卖盘
09:30:21,5.37,-0.02,895,481118,卖盘
09:30:24,5.34,-0.03,1284,690417,卖盘
09:30:27,5.33,-0.01,99,52833,中性盘
09:30:30,5.35,0.02,792,423738,买盘
09:30:33,5.37,0.02,1207,648046,中性盘
09:30:36,5.39,0.02,987,532515,买盘
09:30:39,5.41,0.02,524,283311,买盘
09:30:42,5.46,0.05,431,234368,买盘
09:30:45,5.47,0.01,754,411880,买盘
09:30:48,5.49,0.02,742,406100,买盘
09:30:51,5.5,0.01,293,160829,买盘
09:30:54,5.53,0.03,1870,1028278,买盘
09:30:57,5.5,-0.03,2852,1575745,卖盘
09:31:00,5.51,0.01,480,265348,中性盘
09:31:03,5.51,0.0,4925,2708760,买盘
09:31:06,5.45,-0.06,3352,1834923,卖盘
09:31:09,5.46,0.01,2817,1544346,买盘
09:31:12,5.43,-0.03,533,290571,卖盘
09:31:15,5.45,0.02,374,203504,买盘
09:31:18,5.42,-0.03,1950,1055206,卖盘
09:31:21,5.39,-0.03,882,476748,中性盘
09:31:24,5.45,0.06,2024,1101503,买盘
09:31:27,5.45,0.0,1077,586174,卖盘
09:31:30,5.45,0.0,1335,726252,买盘
09:31:33,5.45,0.0,526,286434,卖盘
09:31:36,5.41,-0.04,2414,1309568,卖盘
09:31:39,5.43,0.02,573,310711,买盘
09:31:42,5.41,-0.02,1354,734649,中性盘
09:31:45,5.42,0.01,457,248025,中性盘
09:31:48,5.42,0.0,408,221253,卖盘
09:31:51,5.42,0.0,729,395385,卖盘
09:31:54,5.42,0.0,554,300544,卖盘
09:31:57,5.42,0.0,1172,635502,买盘
09:32:00,5.42,0.0,536,290439,卖盘
09:32:03,5.43,0.01,498,270659,买盘
09:32:06,5.44,0.01,791,429602,买盘
09:32:09,5.44,0.0,391,212618,买盘
09:32:12,5.45,0.01,253,137701,买盘
09:32:15,5.45,0.0,399,217450,买盘
09:32:18,5.45,0.0,167,91049,卖盘
09:32:21,5.46,0.01,765,417230,买盘
09:32:24,5.44,-0.02,1333,726642,卖盘
09:32:27,5.46,0.02,385,210145,买盘
09:32:30,5.46,0.0,233,127299,卖盘
09:32:33,5.47,0.01,1147,626402,买盘
09:32:36,5.47,0.0,746,407495,卖盘
09:32:39,5.48,0.01,1801,984397,买盘
09:32:42,5.47,-0.01,1184,648757,卖盘
09:32:45,5.47,0.0,1234,674344,买盘
09:32:48,5.48,0.01,368,201616,中性盘
09:32:51,5.49,0.01,299,163962,买盘
09:32:54,5.5,0.01,673,369812,买盘
09:32:57,5.5,0.0,648,356272,买盘
09:33:00,5.5,0.0,542,297668,买盘
09:33:03,5.49,-0.01,1002,550333,中性盘
09:33:06,5.49,0.0,757,415720,买盘
09:33:09,5.48,-0.01,903,494953,卖盘
09:33:12,5.47,-0.01,631,345326,卖盘
09:33:15,5.47,0.0,1154,632801,卖盘
09:33:18,5.48,0.01,935,512273,买盘
09:33:21,5.48,0.0,706,387140,卖盘
